3851130000;3851130023;"Сибирьтелеком"" Алтайский филиал";Новозоринский |Павловский |Алтайский край
3852720000;3852724999;ЭР-Телеком Холдинг;Барнаул |Алтайский край
3852727200;3852727299;Гамма Телеком;Барнаул |Алтайский край
3852750000;3852754999;Ростелеком;Барнаул |Алтайский край
3852755100;3852755195;Ростелеком;Барнаул |Алтайский край
3852755200;3852755295;Ростелеком;Барнаул |Алтайский край
3852755300;3852755395;Ростелеком;Барнаул |Алтайский край
3852755400;3852755495;Ростелеком;Барнаул |Алтайский край
3852755500;3852755595;Ростелеком;Барнаул |Алтайский край
3852755600;3852755695;Ростелеком;Барнаул |Алтайский край
3852755700;3852755795;Ростелеком;Барнаул |Алтайский край
3852755800;3852755895;Ростелеком;Барнаул |Алтайский край
3852757000;3852757799;Ростелеком;Барнаул |Алтайский край
3852758000;3852758499;МОБИЛОН;Барнаул |Алтайский край
3852758500;3852758595;Ростелеком;Барнаул |Алтайский край
3852758600;3852758695;Ростелеком;Барнаул |Алтайский край
3852758700;3852758795;Ростелеком;Барнаул |Алтайский край
3852760000;3852769999;ЭР-Телеком Холдинг;Барнаул |Алтайский край
3852770000;3852779999;Ростелеком;Барнаул |Алтайский край
3852990000;3852990999;Гамма Телеком;Барнаул |Алтайский край
3852991000;3852995999;Вымпел-Коммуникации;Барнаул |Алтайский край
3852999000;3852999110;ПРЕСТИЖ-ИНТЕРНЕТ;Барнаул |Алтайский край
3852999111;3852999111;ДиалогСибирь-Барнаул;Барнаул |Алтайский край
3852999112;3852999332;ПРЕСТИЖ-ИНТЕРНЕТ;Барнаул |Алтайский край
3852999333;3852999333;ДиалогСибирь-Барнаул;Барнаул |Алтайский край
3852999334;3852999500;ПРЕСТИЖ-ИНТЕРНЕТ;Барнаул |Алтайский край
3852999555;3852999555;ДиалогСибирь-Барнаул;Барнаул |Алтайский край
3852999666;3852999666;ДиалогСибирь-Барнаул;Барнаул |Алтайский край
3852999700;3852999799;Гамма Телеком;Барнаул |Алтайский край
3852999888;3852999888;ДиалогСибирь-Барнаул;Барнаул |Алтайский край
3852999900;3852999999;ДиалогСибирь-Барнаул;Барнаул |Алтайский край
3853021000;3853021021;Ростелеком;Зональный |Алтайский край
3853021100;3853021349;Ростелеком;Зональный |Алтайский край
3853022000;3853022999;Ростелеком;Зональный |Алтайский край
3853023300;3853023515;Ростелеком;Зональный |Алтайский край
3853023710;3853023757;Ростелеком;Зональный |Алтайский край
3853024300;3853024419;Ростелеком;Зональный |Алтайский край
3853024420;3853024467;Ростелеком;Зональный |Алтайский край
3853025300;3853025515;Ростелеком;Зональный |Алтайский край
3853025516;3853025539;Ростелеком;Зональный |Алтайский край
3853025540;3853025563;Ростелеком;Зональный |Алтайский край
3853026100;3853026747;Ростелеком;Зональный |Алтайский край
3853026810;3853026859;Ростелеком;Зональный |Алтайский край
3853027200;3853027215;Ростелеком;Зональный |Алтайский край
3853027300;3853027715;Ростелеком;Зональный |Алтайский край
3853028300;3853028515;Ростелеком;Зональный |Алтайский край
3853029300;3853029419;Ростелеком;Зональный |Алтайский край
3853121000;3853121559;Ростелеком;Косихинский |Алтайский край
3853121700;3853121759;Ростелеком;Косихинский |Алтайский край
3853122000;3853122999;Ростелеком;Косихинский |Алтайский край
3853123300;3853123399;Ростелеком;Косихинский |Алтайский край
3853123600;3853123699;Ростелеком;Косихинский |Алтайский край
3853124300;3853124419;Ростелеком;Косихинский |Алтайский край
3853124710;3853124759;Ростелеком;Косихинский |Алтайский край
3853125200;3853125219;Ростелеком;Косихинский |Алтайский край
3853125220;3853125263;Ростелеком;Косихинский |Алтайский край
3853125300;3853125799;Ростелеком;Косихинский |Алтайский край
3853126300;3853126499;Ростелеком;Косихинский |Алтайский край
3853126500;3853126539;Ростелеком;Косихинский |Алтайский край
3853126540;3853126587;Ростелеком;Косихинский |Алтайский край
3853127300;3853127419;Ростелеком;Косихинский |Алтайский край
3853128000;3853128599;Ростелеком;Косихинский |Алтайский край
3853128800;3853128899;Ростелеком;Косихинский |Алтайский край
3853129000;3853129119;Ростелеком;Косихинский |Алтайский край
3853129300;3853129619;Ростелеком;Косихинский |Алтайский край
3853220000;3853227999;Ростелеком;Новоалтайск |Алтайский край
3853230200;3853230599;Российские железные дороги;Новоалтайск |Алтайский край
3853231000;3853231999;Дианэт;Новоалтайск |Алтайский край
3853232000;3853232899;Российские железные дороги;Новоалтайск |Алтайский край
3853233000;3853233299;ДиалогСибирь-Барнаул;Новоалтайск |Алтайский край
3853233300;3853233399;ДиалогСибирь-Барнаул;Новоалтайск |Алтайский край
3853234100;3853234299;Ростелеком;Новоалтайск |Алтайский край
3853234300;3853234499;Ростелеком;Новоалтайск |Алтайский край
3853235000;3853235999;Российские железные дороги;Новоалтайск |Алтайский край
3853236000;3853236999;Ростелеком;Первомайский |Алтайский край
3853237100;3853237199;Ростелеком;Первомайский |Алтайский край
3853237200;3853237299;Ростелеком;Новоалтайск |Алтайский край
3853237900;3853237999;Ростелеком;Новоалтайск |Алтайский край
3853238000;3853239999;Ростелеком;Новоалтайск |Алтайский край
3853240000;3853241999;Ростелеком;Новоалтайск |Алтайский край
3853242000;3853243359;Ростелеком;Новоалтайск |Алтайский край
3853243360;3853243999;Ростелеком;Новоалтайск |Алтайский край
3853244000;3853244499;Ростелеком;Новоалтайск |Алтайский край
3853244500;3853245999;Ростелеком;Новоалтайск |Алтайский край
3853246000;3853249343;Ростелеком;Новоалтайск |Алтайский край
3853250000;3853252047;Ростелеком;Первомайский |Алтайский край
3853252600;3853252983;Ростелеком;Первомайский |Алтайский край
3853253000;3853253683;Ростелеком;Новоалтайск |Алтайский край
3853254100;3853254499;Ростелеком;Новоалтайск |Алтайский край
3853254500;3853254999;Вымпел-Коммуникации;Новоалтайск |Алтайский край
3853255000;3853255099;ДиалогСибирь-Барнаул;Новоалтайск |Алтайский край
3853255100;3853255883;Ростелеком;Новоалтайск |Алтайский край
3853256000;3853259799;Ростелеком;Новоалтайск |Алтайский край
3853261000;3853261099;Ростелеком;Первомайский |Алтайский край
3853261100;3853261699;Ростелеком;Новоалтайск |Алтайский край
3853261700;3853261704;Ростелеком;Первомайский |Алтайский край
3853266000;3853266999;Дианэт;Новоалтайск |Алтайский край
3853272100;3853272799;Ростелеком;Первомайский |Алтайский край
3853275000;3853276279;Ростелеком;Первомайский |Алтайский край
3853277000;3853277959;Ростелеком;Первомайский |Алтайский край
3853278100;3853278699;Ростелеком;Первомайский |Алтайский край
3853279210;3853279259;Ростелеком;Первомайский |Алтайский край
3853279300;3853279972;Ростелеком;Первомайский |Алтайский край
3853279973;3853279999;Ростелеком;Первомайский |Алтайский край
3853290300;3853290499;Ростелеком;Первомайский |Алтайский край
3853291300;3853291499;Ростелеком;Первомайский |Алтайский край
3853293000;3853293603;Ростелеком;Первомайский |Алтайский край
3853294010;3853294059;Ростелеком;Первомайский |Алтайский край
3853294100;3853294323;Ростелеком;Первомайский |Алтайский край
3853294324;3853294399;Ростелеком;Первомайский |Алтайский край
3853294500;3853294799;Ростелеком;Первомайский |Алтайский край
3853295100;3853295259;Ростелеком;Первомайский |Алтайский край
3853296000;3853296159;Ростелеком;Новоалтайск |Алтайский край
3853296300;3853296431;Ростелеком;Первомайский |Алтайский край
3853296432;3853296499;Ростелеком;Первомайский |Алтайский край
3853296700;3853296779;Ростелеком;Первомайский |Алтайский край
3853296780;3853296799;Ростелеком;Первомайский |Алтайский край
3853297300;3853297399;Ростелеком;Первомайский |Алтайский край
3853297410;3853297459;Ростелеком;Первомайский |Алтайский край
3853298000;3853298731;Ростелеком;Первомайский |Алтайский край
3853299500;3853299599;Ростелеком;Первомайский |Алтайский край
3853299900;3853299999;ДиалогСибирь-Барнаул;Новоалтайск |Алтайский край
3853321000;3853321815;Ростелеком;Солтонский |Алтайский край
3853321816;3853321847;Ростелеком;Солтонский |Алтайский край
3853323300;3853323411;Ростелеком;Солтонский |Алтайский край
3853324300;3853324555;Ростелеком;Солтонский |Алтайский край
3853325300;3853325408;Ростелеком;Солтонский |Алтайский край
3853326300;3853326475;Ростелеком;Солтонский |Алтайский край
3853327300;3853327499;Ростелеком;Солтонский |Алтайский край
3853328300;3853328499;Ростелеком;Солтонский |Алтайский край
3853420100;3853420147;Ростелеком;Троицкий |Алтайский край
3853420200;3853420599;Ростелеком;Троицкий |Алтайский край
3853420600;3853420823;Ростелеком;Троицкий |Алтайский край
3853421000;3853422999;Ростелеком;Троицкий |Алтайский край
3853424300;3853424467;Ростелеком;Троицкий |Алтайский край
3853425100;3853425323;Ростелеком;Троицкий |Алтайский край
3853426300;3853426403;Ростелеком;Троицкий |Алтайский край
3853427000;3853427399;Ростелеком;Троицкий |Алтайский край
3853430300;3853430387;Ростелеком;Троицкий |Алтайский край
3853431100;3853431499;Ростелеком;Троицкий |Алтайский край
3853432300;3853432555;Ростелеком;Троицкий |Алтайский край
3853433300;3853433443;Ростелеком;Троицкий |Алтайский край
3853434300;3853434443;Ростелеком;Троицкий |Алтайский край
3853435200;3853435259;Ростелеком;Троицкий |Алтайский край
3853435300;3853435623;Ростелеком;Троицкий |Алтайский край
3853436300;3853436371;Ростелеком;Троицкий |Алтайский край
3853436500;3853436599;Ростелеком;Троицкий |Алтайский край
3853436700;3853436867;Ростелеком;Троицкий |Алтайский край
3853437300;3853437459;Ростелеком;Троицкий |Алтайский край
3853438300;3853438459;Ростелеком;Троицкий |Алтайский край
3853439300;3853439515;Ростелеком;Троицкий |Алтайский край
3853521000;3853521799;Ростелеком;Красногорский |Алтайский край
3853522000;3853522999;Ростелеком;Красногорский |Алтайский край
3853523110;3853523181;Ростелеком;Красногорский |Алтайский край
3853523210;3853523281;Ростелеком;Красногорский |Алтайский край
3853523300;3853523443;Ростелеком;Красногорский |Алтайский край
3853523444;3853523467;Ростелеком;Красногорский |Алтайский край
3853524300;3853524419;Ростелеком;Красногорский |Алтайский край
3853525200;3853525439;Ростелеком;Красногорский |Алтайский край
3853525440;3853525487;Ростелеком;Красногорский |Алтайский край
3853526200;3853526247;Ростелеком;Красногорский |Алтайский край
3853526300;3853526399;Ростелеком;Красногорский |Алтайский край
3853527300;3853527419;Ростелеком;Красногорский |Алтайский край
3853528300;3853528419;Ростелеком;Красногорский |Алтайский край
3853529300;3853529467;Ростелеком;Красногорский |Алтайский край
3853620000;3853620427;Ростелеком;Смоленский |Алтайский край
3853621000;3853622999;Ростелеком;Смоленский |Алтайский край
3853623300;3853623587;Ростелеком;Смоленский |Алтайский край
3853623588;3853623611;Ростелеком;Смоленский |Алтайский край
3853624200;3853624727;Ростелеком;Смоленский |Алтайский край
3853625200;3853625631;Ростелеком;Смоленский |Алтайский край
3853626100;3853626199;Ростелеком;Смоленский |Алтайский край
3853626280;3853626663;Ростелеком;Смоленский |Алтайский край
3853627000;3853627439;Ростелеком;Смоленский |Алтайский край
3853627500;3853627899;Ростелеком;Смоленский |Алтайский край
3853627910;3853627959;Ростелеком;Смоленский |Алтайский край
3853628200;3853628295;Ростелеком;Смоленский |Алтайский край
3853628300;3853628863;Ростелеком;Смоленский |Алтайский край
3853629200;3853629219;Ростелеком;Смоленский |Алтайский край
3853629300;3853629643;Ростелеком;Смоленский |Алтайский край
3853720000;3853723061;Ростелеком;Алтайский |Алтайский край
3853723062;3853723075;Ростелеком;Алтайский |Алтайский край
3853723076;3853723449;Ростелеком;Алтайский |Алтайский край
3853723500;3853723755;Ростелеком;Алтайский |Алтайский край
3853724200;3853724249;Ростелеком;Алтайский |Алтайский край
3853724250;3853724595;Ростелеком;Алтайский |Алтайский край
3853724596;3853724599;Ростелеком;Алтайский |Алтайский край
3853724600;3853724695;Ростелеком;Алтайский |Алтайский край
3853724700;3853724749;Ростелеком;Алтайский |Алтайский край
3853726200;3853726555;Ростелеком;Алтайский |Алтайский край
3853727300;3853727587;Ростелеком;Алтайский |Алтайский край
3853727600;3853727699;Ростелеком;Алтайский |Алтайский край
3853727900;3853728159;Ростелеком;Алтайский |Алтайский край
3853728200;3853728459;Ростелеком;Алтайский |Алтайский край
3853728500;3853728835;Ростелеком;Алтайский |Алтайский край
3853728850;3853728877;Ростелеком;Алтайский |Алтайский край
3853728910;3853728959;Ростелеком;Алтайский |Алтайский край
3853729000;3853729999;Ростелеком;Алтайский |Алтайский край
3853821500;3853821599;Ростелеком;Суетский |Алтайский край
3853821610;3853821659;Ростелеком;Суетский |Алтайский край
3853821660;3853821669;Ростелеком;Суетский |Алтайский край
3853822000;3853822999;Ростелеком;Суетский |Алтайский край
3853823300;3853823599;Ростелеком;Суетский |Алтайский край
3853824110;3853824159;Ростелеком;Суетский |Алтайский край
3853825100;3853825163;Ростелеком;Суетский |Алтайский край
3853920100;3853920799;Ростелеком;Немецкий Национальный |Алтайский край
3853922000;3853922999;Ростелеком;Немецкий Национальный |Алтайский край
3853923200;3853923733;Ростелеком;Немецкий Национальный |Алтайский край
3853924300;3853924799;Ростелеком;Немецкий Национальный |Алтайский край
3853925100;3853925199;Ростелеком;Немецкий Национальный |Алтайский край
3853925300;3853925673;Ростелеком;Немецкий Национальный |Алтайский край
3853926100;3853926399;Ростелеком;Немецкий Национальный |Алтайский край
3853926600;3853926999;Ростелеком;Немецкий Национальный |Алтайский край
3853927100;3853927999;Ростелеком;Немецкий Национальный |Алтайский край
3853928100;3853928999;Ростелеком;Немецкий Национальный |Алтайский край
3853929500;3853929905;Ростелеком;Немецкий Национальный |Алтайский край
3854220000;3854220999;МЕГАПОЛИС-ЛАЙН;Бийск |Алтайский край
3854221000;3854221999;Дианэт;Бийск |Алтайский край
3854222000;3854222499;ПРЕСТИЖ-ИНТЕРНЕТ;Бийск |Алтайский край
3854230200;3854230899;Ростелеком;Бийск |Алтайский край
3854232000;3854236999;Ростелеком;Бийский |Алтайский край
3854238100;3854238199;Ростелеком;Бийск |Алтайский край
3854238300;3854238399;Ростелеком;Бийск |Алтайский край
3854238500;3854238599;Ростелеком;Бийск |Алтайский край
3854240000;3854256999;Ростелеком;Бийский |Алтайский край
3854260000;3854264999;ИНТЕЛКОМ.;Бийск |Алтайский край
3854299600;3854299999;ПРЕСТИЖ-ИНТЕРНЕТ;Бийск |Алтайский край
3854301000;3854303999;АЛТАЙСВЯЗЬ;Бийск |Алтайский край
3854304000;3854304999;Мобильные ТелеСистемы;Бийск |Алтайский край
3854305000;3854305999;АЛТАЙСВЯЗЬ;Бийск |Алтайский край
3854306000;3854306599;АЛТАЙСВЯЗЬ;Бийск |Алтайский край
3854306600;3854307099;АЛТАЙСВЯЗЬ;Бийск |Алтайский край
3854307100;3854307599;Вымпел-Коммуникации;Бийск |Алтайский край
3854310000;3854316703;Ростелеком;Бийский |Алтайский край
3854316704;3854317447;Ростелеком;Бийск |Алтайский край
3854320000;3854329967;Ростелеком;Бийск |Алтайский край
3854329968;3854332607;Ростелеком;Бийский |Алтайский край
3854333216;3854334847;Ростелеком;Бийский |Алтайский край
3854334848;3854338999;Ростелеком;Бийск |Алтайский край
3854340000;3854348999;Ростелеком;Бийск |Алтайский край
3854349000;3854349499;ДиалогСибирь-Барнаул;Бийск |Алтайский край
3854349500;3854353607;Ростелеком;Бийск |Алтайский край
3854355000;3854357335;Ростелеком;Бийск |Алтайский край
3854362000;3854364975;Ростелеком;Бийский |Алтайский край
3854364976;3854369999;Ростелеком;Бийск |Алтайский край
3854370100;3854370795;Ростелеком;Бийский |Алтайский край
3854371000;3854372271;Ростелеком;Бийский |Алтайский край
3854372800;3854372999;Ростелеком;Бийский |Алтайский край
3854375000;3854375495;Ростелеком;Бийский |Алтайский край
3854375700;3854376095;Ростелеком;Бийский |Алтайский край
3854376096;3854376099;Ростелеком;Бийск |Алтайский край
3854376300;3854376995;Ростелеком;Бийский |Алтайский край
3854376996;3854376999;Ростелеком;Бийск |Алтайский край
3854381005;3854382028;Ростелеком;Бийский |Алтайский край
3854383000;3854383019;Ростелеком;Бийский |Алтайский край
3854383100;3854383195;Ростелеком;Бийский |Алтайский край
3854383200;3854383823;Ростелеком;Бийский |Алтайский край
3854383900;3854384099;Ростелеком;Бийский |Алтайский край
3854384610;3854384659;Ростелеком;Бийский |Алтайский край
3854384700;3854384723;Ростелеком;Бийский |Алтайский край
3854384800;3854384999;Ростелеком;Бийский |Алтайский край
3854390000;3854390199;Ростелеком;Бийск |Алтайский край
3854390500;3854390999;ПРЕСТИЖ-ИНТЕРНЕТ;Бийск |Алтайский край
3854391000;3854391999;Ростелеком;Бийск |Алтайский край
3854393000;3854394299;Ростелеком;Бийск |Алтайский край
3854396000;3854396199;Бийский олеумный завод;Бийск |Алтайский край
3854396200;3854396699;Ростелеком;Бийск |Алтайский край
3854396700;3854396999;Бийский олеумный завод;Бийск |Алтайский край
3854397000;3854397499;Бийский олеумный завод;Бийск |Алтайский край
3854397500;3854397999;Бийский олеумный завод;Бийск |Алтайский край
3854398000;3854398399;Ростелеком;Бийск |Алтайский край
3854399200;3854399599;Российские железные дороги;Бийск |Алтайский край
3854400000;3854401343;Ростелеком;Бийск |Алтайский край
3854402048;3854404991;Ростелеком;Бийск |Алтайский край
3854405120;3854405695;Ростелеком;Бийск |Алтайский край
3854406144;3854406751;Ростелеком;Бийск |Алтайский край
3854407168;3854407615;Ростелеком;Бийск |Алтайский край
3854408192;3854408767;Ростелеком;Бийск |Алтайский край
3854409216;3854409823;Ростелеком;Бийск |Алтайский край
3854410240;3854410815;Ростелеком;Бийск |Алтайский край
3854411264;3854412159;Ростелеком;Бийск |Алтайский край
3854412288;3854413183;Ростелеком;Бийск |Алтайский край
3854413312;3854414847;Ростелеком;Бийск |Алтайский край
3854415360;3854420295;Ростелеком;Бийск |Алтайский край
3854421360;3854421679;Ростелеком;Бийск |Алтайский край
3854430000;3854431023;Ростелеком;Бийск |Алтайский край
3854432048;3854433199;Ростелеком;Бийск |Алтайский край
3854434096;3854434799;Ростелеком;Бийск |Алтайский край
3854435120;3854436271;Ростелеком;Бийск |Алтайский край
3854437168;3854437807;Ростелеком;Бийск |Алтайский край
3854438192;3854438959;Ростелеком;Бийск |Алтайский край
3854439216;3854440047;Ростелеком;Бийск |Алтайский край
3854440240;3854441391;Ростелеком;Бийск |Алтайский край
3854442288;3854442799;Ростелеком;Бийск |Алтайский край
3854443312;3854444143;Ростелеком;Бийск |Алтайский край
3854444336;3854444911;Ростелеком;Бийск |Алтайский край
3854445360;3854446639;Ростелеком;Бийск |Алтайский край
3854447408;3854451791;Ростелеком;Бийск |Алтайский край
3854452408;3854453687;Ростелеком;Бийск |Алтайский край
3854454456;3854455799;Ростелеком;Бийск |Алтайский край
3854456504;3854456759;Ростелеком;Бийск |Алтайский край
3854470000;3854470703;Ростелеком;Бийск |Алтайский край
3854471024;3854471343;Ростелеком;Бийск |Алтайский край
3854472048;3854472815;Ростелеком;Бийск |Алтайский край
3854473071;3854473646;Ростелеком;Бийск |Алтайский край
3854474095;3854475247;Ростелеком;Бийск |Алтайский край
3854476096;3854476735;Ростелеком;Бийск |Алтайский край
3854555000;3854555999;ДиалогСибирь-Барнаул;Бийск |Алтайский край
3854666600;3854666699;Радио ТЭК;Бийск |Алтайский край
3854713200;3854713499;Ростелеком;Бийск |Алтайский край
3854717000;3854719687;Ростелеком;Бийск |Алтайский край
3854722200;3854722247;Ростелеком;Бийский |Алтайский край
3854722300;3854722795;Ростелеком;Бийский |Алтайский край
3854726300;3854726399;Ростелеком;Бийский |Алтайский край
3854761100;3854761747;Ростелеком;Бийский |Алтайский край
3854770100;3854770547;Ростелеком;Бийский |Алтайский край
3854770600;3854770747;Ростелеком;Бийский |Алтайский край
3854771100;3854771339;Ростелеком;Бийский |Алтайский край
3854771400;3854771471;Ростелеком;Бийский |Алтайский край
3854774000;3854774673;Ростелеком;Бийский |Алтайский край
3854774700;3854774771;Ростелеком;Бийский |Алтайский край
3854774800;3854774899;Ростелеком;Бийский |Алтайский край
3854777000;3854777009;ДиалогСибирь-Барнаул;Бийск |Алтайский край
3854777111;3854777118;ДиалогСибирь-Барнаул;Бийск |Алтайский край
3854777700;3854777799;Радио ТЭК;Бийск |Алтайский край
3854778700;3854778771;Ростелеком;Бийский |Алтайский край
3854779100;3854779299;Ростелеком;Бийский |Алтайский край
3854779400;3854779623;Ростелеком;Бийский |Алтайский край
3854999111;3854999111;ДиалогСибирь-Барнаул;Бийск |Алтайский край
3854999333;3854999333;ДиалогСибирь-Барнаул;Бийск |Алтайский край
3854999555;3854999555;ДиалогСибирь-Барнаул;Бийск |Алтайский край
3854999666;3854999666;ДиалогСибирь-Барнаул;Бийск |Алтайский край
3854999888;3854999888;ДиалогСибирь-Барнаул;Бийск |Алтайский край
3854999900;3854999999;ДиалогСибирь-Барнаул;Бийск |Алтайский край
3855021000;3855023095;Ростелеком;Шипуновский |Алтайский край
3855023100;3855023147;Ростелеком;Шипуновский |Алтайский край
3855023300;3855023799;Ростелеком;Шипуновский |Алтайский край
3855024000;3855024019;Ростелеком;Шипуновский |Алтайский край
3855024100;3855024815;Ростелеком;Шипуновский |Алтайский край
3855024910;3855024959;Ростелеком;Шипуновский |Алтайский край
3855025000;3855025699;Ростелеком;Шипуновский |Алтайский край
3855025710;3855025759;Ростелеком;Шипуновский |Алтайский край
3855025800;3855025849;Ростелеком;Шипуновский |Алтайский край
3855025900;3855025959;Ростелеком;Шипуновский |Алтайский край
3855026000;3855026667;Ростелеком;Шипуновский |Алтайский край
3855026710;3855026759;Ростелеком;Шипуновский |Алтайский край
3855026800;3855026839;Ростелеком;Шипуновский |Алтайский край
3855026900;3855026919;Ростелеком;Шипуновский |Алтайский край
