8610740000;8610749999;ЮТК;Краснодарский край
8612198900;8612198999;Связь объектов транспорта и добычи нефти;Краснодар |Краснодарский край
8612199000;8612199327;Ростелеком;Краснодар |Краснодарский край
8612199328;8612199399;Кубань он Лайн;Краснодар |Краснодарский край
8612199400;8612199439;Кубань он Лайн;Краснодар |Краснодарский край
8612199440;8612199699;Ростелеком;Краснодар |Краснодарский край
8612199700;8612199799;РОЙЛКОМ;Краснодар |Краснодарский край
8612199800;8612299999;Ростелеком;Краснодар |Краснодарский край
8612300000;8612309999;АСВТ(Москва);Краснодар |Краснодарский край
8612310000;8612379999;Ростелеком;Краснодар |Краснодарский край
8612380000;8612381999;Кубань он Лайн;Краснодар |Краснодарский край
8612382000;8612382999;Потенциал;Краснодар |Краснодарский край
8612383000;8612383499;ТелекомСервис;Краснодар |Краснодарский край
8612383500;8612383989;Открытые системы;Краснодар |Краснодарский край
8612384000;8612384999;Новтек;Краснодар |Краснодарский край
8612385000;8612385999;ЗЕБРА ТЕЛЕКОМ;Краснодар |Краснодарский край
8612386000;8612387999;РОЙЛКОМ;Краснодар |Краснодарский край
8612388000;8612388099;Скай-Лоджик;Краснодар |Краснодарский край
8612388800;8612388899;Гамма Телеком;Краснодар |Краснодарский край
8612388900;8612388999;ЛУКОЙЛ-ИНФОРМ;Краснодар |Краснодарский край
8612389000;8612389999;КОННЭКТ;Краснодар |Краснодарский край
8612390000;8612398999;Ростелеком;Краснодар |Краснодарский край
8612399000;8612399999;МегаФон;Краснодар |Краснодарский край
8612400000;8612499999;Мобильные ТелеСистемы;Краснодар |Краснодарский край
8612500000;8612699999;Ростелеком;Краснодар |Краснодарский край
8612700000;8612731399;КУБТЕЛЕКОМ;Краснодар |Краснодарский край
8612731400;8612731499;Вымпел-Коммуникации;Краснодар |Краснодарский край
8612731500;8612731699;КУБТЕЛЕКОМ;Краснодар |Краснодарский край
8612731700;8612731799;Вымпел-Коммуникации;Краснодар |Краснодарский край
8612731800;8612731899;КУБТЕЛЕКОМ;Краснодар |Краснодарский край
8612731900;8612731999;Вымпел-Коммуникации;Краснодар |Краснодарский край
8612732000;8612739299;КУБТЕЛЕКОМ;Краснодар |Краснодарский край
8612739300;8612739999;Вымпел-Коммуникации;Краснодар |Краснодарский край
8612740000;8612747899;Кубинтерсвязь;Краснодар |Краснодарский край
8612747900;8612747999;Новтек;Краснодар |Краснодарский край
8612748000;8612749599;Кубинтерсвязь;Краснодар |Краснодарский край
8612749600;8612749699;Новтек;Краснодар |Краснодарский край
8612749700;8612749799;ММП Комьюникейшнз;Краснодар |Краснодарский край
8612749800;8612749849;ММП Комьюникейшнз;Краснодар |Краснодарский край
8612749850;8612749889;Открытые системы;Краснодар |Краснодарский край
8612749890;8612749899;ММП Комьюникейшнз;Краснодар |Краснодарский край
8612749900;8612749999;ММП Комьюникейшнз;Краснодар |Краснодарский край
8612750000;8612752699;Кубинтерсвязь;Краснодар |Краснодарский край
8612752700;8612752899;Новтек;Краснодар |Краснодарский край
8612752900;8612759999;Кубинтерсвязь;Краснодар |Краснодарский край
8612760000;8612769999;КУБТЕЛЕКОМ;Краснодар |Краснодарский край
8612770000;8612772999;Кубинтерсвязь;Краснодар |Краснодарский край
8612773000;8612773099;ММП Комьюникейшнз;Краснодар |Краснодарский край
8612773100;8612773199;ММП Комьюникейшнз;Краснодар |Краснодарский край
8612773200;8612773299;ММП Комьюникейшнз;Краснодар |Краснодарский край
8612773300;8612773399;ММП Комьюникейшнз;Краснодар |Краснодарский край
8612773400;8612773499;ММП Комьюникейшнз;Краснодар |Краснодарский край
8612773500;8612773599;ММП Комьюникейшнз;Краснодар |Краснодарский край
8612773600;8612773639;ММП Комьюникейшнз;Краснодар |Краснодарский край
8612773640;8612773699;Открытые системы;Краснодар |Краснодарский край
8612773700;8612773999;Новтек;Краснодар |Краснодарский край
8612774000;8612779999;Кубинтерсвязь;Краснодар |Краснодарский край
8612780000;8612789999;КУБТЕЛЕКОМ;Краснодар |Краснодарский край
8612790000;8612797279;Южный ТЕЛЕКОМ;Краснодар |Краснодарский край
8612797280;8612797379;Наша сеть;Краснодар |Краснодарский край
8612797380;8612799999;Южный ТЕЛЕКОМ;Краснодар |Краснодарский край
8612800000;8612800999;МТел;Краснодар |Краснодарский край
8612888000;8612888999;МТел;Краснодар |Краснодарский край
8612900000;8612939999;МегаФон;Краснодар |Краснодарский край
8612940000;8612959999;Вымпел-Коммуникации;Краснодар |Краснодарский край
8612970000;8612974999;Южный ТЕЛЕКОМ;Краснодар |Краснодарский край
8612975000;8612979999;Аврора-Телеком;Краснодар |Краснодарский край
8612980000;8612989999;Вымпел-Коммуникации;Краснодар |Краснодарский край
8612990000;8612990999;Линки;Краснодар |Краснодарский край
8612991000;8612991489;Открытые системы;Краснодар |Краснодарский край
8612991500;8612991999;МОБИЛОН;Краснодар |Краснодарский край
8612992000;8612992999;Линки;Краснодар |Краснодарский край
8612993000;8612994999;МТел;Краснодар |Краснодарский край
8612995000;8612998999;КУБАНЬ-ТЕЛЕКОМ;Краснодар |Краснодарский край
8612999000;8612999999;МегаФон;Краснодар |Краснодарский край
8613020000;8613020049;Южный ТЕЛЕКОМ;Тимашевск |Тимашевский |Краснодарский край
8613020050;8613024999;Ростелеком;Тимашевский |Краснодарский край
8613025500;8613026999;Ростелеком;Тимашевский |Краснодарский край
8613027000;8613028843;Российские железные дороги;Тимашевский |Краснодарский край
8613028844;8613029599;Ростелеком;Тимашевский |Краснодарский край
8613029700;8613061999;Ростелеком;Тимашевский |Краснодарский край
8613062000;8613062999;Мобильные ТелеСистемы;Тимашевский |Краснодарский край
8613063000;8613069999;Ростелеком;Тимашевский |Краснодарский край
8613070000;8613070499;КУБТЕЛЕКОМ;Тимашевский |Краснодарский край
8613070500;8613079999;Ростелеком;Тимашевский |Краснодарский край
8613090000;8613099999;Ростелеком;Тимашевский |Краснодарский край
8613120000;8613122999;Ростелеком;Крымск |Краснодарский край
8613123100;8613123599;Ростелеком;Крымск |Краснодарский край
8613123900;8613124999;Ростелеком;Крымск |Краснодарский край
8613125000;8613125999;Синтерра-Юг;Крымск |Краснодарский край
8613127000;8613129999;Ростелеком;Крымск |Краснодарский край
8613131100;8613131199;Ростелеком;Крымский |Краснодарский край
8613132100;8613132723;Российские железные дороги;Крымский |Краснодарский край
8613132800;8613133499;Ростелеком;Крымск |Краснодарский край
8613135600;8613136099;Ростелеком;Крымск |Краснодарский край
8613136100;8613136399;Крымский консервный комбинат;Крымск |Краснодарский край
8613136400;8613136499;Ростелеком;Крымск |Краснодарский край
8613136500;8613136799;Крымский консервный комбинат;Крымск |Краснодарский край
8613136800;8613136899;Ростелеком;Крымск |Краснодарский край
8613136900;8613136999;Крымский консервный комбинат;Крымск |Краснодарский край
8613140000;8613149999;Ростелеком;Крымск |Краснодарский край
8613150500;8613150599;Южный ТЕЛЕКОМ;Крымск |Краснодарский край
8613151000;8613151799;Ростелеком;Крымск |Краснодарский край
8613152000;8613152899;Ростелеком;Крымск |Краснодарский край
8613153000;8613153999;Ростелеком;Крымск |Краснодарский край
8613154000;8613154999;Ростелеком;Крымск |Краснодарский край
8613159000;8613159075;Ростелеком;Крымск |Краснодарский край
8613159600;8613167999;Ростелеком;Крымск |Краснодарский край
8613169000;8613177999;Ростелеком;Крымск |Краснодарский край
8613179000;8613179999;Ростелеком;Крымск |Краснодарский край
8613220000;8613252999;Ростелеком;Ейск |Краснодарский край
8613253000;8613253999;Мобильные ТелеСистемы;Ейск |Краснодарский край
8613255000;8613259999;Мобильные ТелеСистемы;Ейск |Краснодарский край
8613260000;8613266199;Ростелеком;Ейск |Краснодарский край
8613266300;8613267999;Ростелеком;Ейск |Краснодарский край
8613268000;8613268429;"Фирма ""СВЯЗЬ";Ейск |Краснодарский край
8613268500;8613268699;"Фирма ""СВЯЗЬ";Ейск |Краснодарский край
8613268700;8613268899;"Фирма ""СВЯЗЬ";Ейский |Краснодарский край
8613269000;8613269039;"Фирма ""СВЯЗЬ";Ейск |Краснодарский край
8613269069;8613269069;"Фирма ""СВЯЗЬ";Ейск |Краснодарский край
8613269120;8613269139;"Фирма ""СВЯЗЬ";Ейск |Краснодарский край
8613269200;8613269299;"Фирма ""СВЯЗЬ";Ейск |Краснодарский край
8613269440;8613269459;"Фирма ""СВЯЗЬ";Ейск |Краснодарский край
8613269500;8613269520;"Фирма ""СВЯЗЬ";Ейск |Краснодарский край
8613269548;8613269550;"Фирма ""СВЯЗЬ";Ейск |Краснодарский край
8613269577;8613269599;"Фирма ""СВЯЗЬ";Ейск |Краснодарский край
8613270000;8613279999;Ростелеком;Ейск |Краснодарский край
8613290000;8613299999;Ростелеком;Ейский |Краснодарский край
8613320000;8613321999;Ростелеком;Анапа |Краснодарский край
8613322000;8613322099;"Санаторий ""Анапа";Анапа |Краснодарский край
8613322100;8613322199;"Санаторий ""Анапа";Анапа |Краснодарский край
8613322200;8613322299;"Санаторий ""Анапа";Анапа |Краснодарский край
8613322300;8613322399;"Санаторий ""Анапа";Анапа |Краснодарский край
8613322400;8613322499;Южный ТЕЛЕКОМ;Анапа |Краснодарский край
8613322500;8613325999;Ростелеком;Анапа |Краснодарский край
8613326000;8613326999;РОЙЛКОМ;Анапа |Краснодарский край
8613327000;8613349199;Ростелеком;Анапа |Краснодарский край
8613349200;8613349299;Газпром телеком;Анапа |Краснодарский край
8613349300;8613349799;"Научно-производственное объединение ""Прогрессивные технологии";Анапа |Краснодарский край
8613349800;8613352999;Ростелеком;Анапа |Краснодарский край
8613353000;8613353999;КУБТЕЛЕКОМ;Анапа |Краснодарский край
8613354000;8613354999;Ростелеком;Анапа |Краснодарский край
8613355000;8613355999;КУБТЕЛЕКОМ;Анапа |Краснодарский край
8613356000;8613357999;Ростелеком;Анапа |Краснодарский край
8613358000;8613359499;КУБТЕЛЕКОМ;Анапа |Краснодарский край
8613359500;8613359799;Вымпел-Коммуникации;Анапа |Краснодарский край
8613359800;8613359999;КУБТЕЛЕКОМ;Анапа |Краснодарский край
8613360000;8613369999;Мобильные ТелеСистемы;Анапа |Краснодарский край
8613370000;8613379999;Ростелеком;Анапа |Краснодарский край
8613390000;8613394511;Ростелеком;Анапский |Краснодарский край
8613394512;8613394711;Аэропорт Анапа;Анапский |Краснодарский край
8613394712;8613399999;Ростелеком;Анапский |Краснодарский край
8613520000;8613530999;Ростелеком;Усть - Лабинский |Краснодарский край
8613532000;8613559999;Ростелеком;Усть - Лабинский |Краснодарский край
8613560000;8613560049;Южный ТЕЛЕКОМ;Усть - Лабинский |Краснодарский край
8613561000;8613561999;Синтерра-Юг;Усть - Лабинск |Усть - Лабинский |Краснодарский край
8613562000;8613562999;Медиагранд;Усть - Лабинск |Усть - Лабинский |Краснодарский край
8613570000;8613579999;Ростелеком;Усть - Лабинский |Краснодарский край
8613590000;8613591599;Ростелеком;Усть - Лабинский |Краснодарский край
8613591700;8613597999;Ростелеком;Усть - Лабинский |Краснодарский край
8613598000;8613598049;Южный ТЕЛЕКОМ;Усть - Лабинск |Усть - Лабинский |Краснодарский край
8613598050;8613599999;Ростелеком;Усть - Лабинский |Краснодарский край
8613720000;8613724999;Ростелеком;Армавир |Краснодарский край
8613725000;8613725499;ИТ;Армавир |Краснодарский край
8613725500;8613726999;МегаФон;Армавир |Краснодарский край
8613727000;8613728999;Ростелеком;Армавир |Краснодарский край
8613729000;8613729199;Вымпел-Коммуникации;Армавир |Краснодарский край
8613729200;8613729399;Телекомнефтепродукт;Армавир |Краснодарский край
8613729400;8613729499;Вымпел-Коммуникации;Армавир |Краснодарский край
8613729500;8613748299;Ростелеком;Армавир |Краснодарский край
8613748300;8613748999;Вымпел-Коммуникации;Армавир |Краснодарский край
8613749000;8613759999;Ростелеком;Армавир |Краснодарский край
8613760000;8613760199;ИТ;Армавир |Краснодарский край
8613760200;8613760599;Вымпел-Коммуникации;Армавир |Краснодарский край
8613760600;8613760699;ИТ;Армавир |Краснодарский край
8613760700;8613760799;Вымпел-Коммуникации;Армавир |Краснодарский край
8613760800;8613760999;ИТ;Армавир |Краснодарский край
8613761000;8613761999;Вымпел-Коммуникации;Армавир |Краснодарский край
8613762000;8613762999;Ростелеком;Армавир |Краснодарский край
8613763000;8613763049;Южный ТЕЛЕКОМ;Армавир |Краснодарский край
8613763050;8613763499;Ростелеком;Армавир |Краснодарский край
8613763500;8613763999;ПРЕСТИЖ-ИНТЕРНЕТ;Армавир |Краснодарский край
8613764000;8613765999;Мобильные ТелеСистемы;Армавир |Краснодарский край
8613766000;8613768899;Ростелеком;Армавир |Краснодарский край
8613768900;8613768999;ММП Комьюникейшнз;Армавир |Краснодарский край
8613769000;8613769199;Российские железные дороги;Армавир |Краснодарский край
8613769200;8613769899;Ростелеком;Армавир |Краснодарский край
8613770000;8613779999;Ростелеком;Армавир |Краснодарский край
8613780000;8613787499;Вымпел-Коммуникации;Армавир |Краснодарский край
8613790000;8613799999;Мобильные ТелеСистемы;Армавир |Краснодарский край
8613822000;8613822999;РЖД;Кропоткин |Краснодарский край
8613823000;8613823999;РЖД;Кропоткин |Краснодарский край
8613826000;8613849999;Ростелеком;Кропоткин |Краснодарский край
8613857000;8613857999;Синтерра-Юг;Кропоткин |Краснодарский край
8613858000;8613859999;Ростелеком;Кропоткин |Краснодарский край
8613861000;8613879999;Ростелеком;Кропоткин |Краснодарский край
8613880000;8613880049;Южный ТЕЛЕКОМ;Кропоткин |Краснодарский край
8613892000;8613893999;Российские железные дороги;Кавказский |Краснодарский край
8613894000;8613899199;Ростелеком;Кропоткин |Краснодарский край
8613899500;8613899999;Ростелеком;Кропоткин |Краснодарский край
8614050000;8614054099;Ростелеком;Успенский |Краснодарский край
8614054612;8614059999;Ростелеком;Успенский |Краснодарский край
8614060000;8614069999;Ростелеком;Успенский |Краснодарский край
8614120000;8614121999;Ростелеком;Геленджик |Краснодарский край
8614124000;8614139999;Ростелеком;Геленджик |Краснодарский край
8614140000;8614140199;Южный ТЕЛЕКОМ;Геленджик |Краснодарский край
8614143500;8614143999;Вымпел-Коммуникации;Геленджик |Краснодарский край
8614144000;8614144499;Газпром телеком;Геленджик |Краснодарский край
8614145000;8614145999;Мобильные ТелеСистемы;Геленджик |Краснодарский край
8614147000;8614147999;КУБТЕЛЕКОМ;Геленджик |Краснодарский край
8614150000;8614169999;Ростелеком;Геленджик |Краснодарский край
8614170000;8614179999;КУБТЕЛЕКОМ;Геленджик |Краснодарский край
8614190000;8614190999;Вымпел-Коммуникации;Геленджик |Краснодарский край
8614194200;8614194639;Южное научно-производственное объединение по морским геологоразведочным работам;Геленджик |Краснодарский край
8614194640;8614195499;Ростелеком;Геленджик |Краснодарский край
8614198000;8614199699;Ростелеком;Геленджик |Краснодарский край
8614199700;8614199799;СЕВМОРНЕФТЕГЕОФИЗИКА;Геленджик |Краснодарский край
8614199800;8614199899;Ростелеком;Геленджик |Краснодарский край
8614220000;8614231279;Ростелеком;Кореновский |Краснодарский край
8614231280;8614232279;Межрегиональный ТранзитТелеком;Кореновск |Кореновский |Краснодарский край
8614233300;8614233399;Ростелеком;Кореновский |Краснодарский край
8614236000;8614237719;Ростелеком;Кореновский |Краснодарский край
8614238000;8614252999;Ростелеком;Кореновский |Краснодарский край
8614254000;8614255599;Ростелеком;Кореновский |Краснодарский край
8614255700;8614255899;Ростелеком;Кореновский |Краснодарский край
8614266000;8614267999;Ростелеком;Кореновский |Краснодарский край
8614271000;8614276899;Ростелеком;Кореновский |Краснодарский край
8614277700;8614277799;Ростелеком;Кореновский |Краснодарский край
8614292100;8614292499;Ростелеком;Кореновский |Краснодарский край
8614292600;8614292999;Ростелеком;Кореновский |Краснодарский край
8614296000;8614296599;Ростелеком;Кореновский |Краснодарский край
8614298000;8614298199;Ростелеком;Кореновский |Краснодарский край
8614298500;8614298999;Ростелеком;Кореновский |Краснодарский край
8614320000;8614339999;Ростелеком;Приморско - Ахтарский |Краснодарский край
8614350000;8614359999;Ростелеком;Приморско - Ахтарский |Краснодарский край
8614390000;8614399999;Ростелеком;Приморско - Ахтарский |Краснодарский край
8614430000;8614439999;Ростелеком;Отрадненский |Краснодарский край
8614450000;8614459999;Ростелеком;Отрадненский |Краснодарский край
8614490000;8614499999;Ростелеком;Отрадненский |Краснодарский край
8614530000;8614530999;Ростелеком;Ленинградский |Краснодарский край
8614536000;8614539999;Ростелеком;Ленинградский |Краснодарский край
8614541000;8614559999;Ростелеком;Ленинградский |Краснодарский край
8614570000;8614579999;Ростелеком;Ленинградский |Краснодарский край
8614620000;8614631999;Ростелеком;Славянск - на - Кубани |Краснодарский край
8614632000;8614632999;Кубаш;Славянск - на - Кубани |Краснодарский край
8614633000;8614649999;Ростелеком;Славянск - на - Кубани |Краснодарский край
8614650000;8614653999;Ростелеком;Славянский |Краснодарский край
8614654900;8614655899;РН-Информ;Славянский |Краснодарский край
8614660100;8614660199;Южный ТЕЛЕКОМ;Славянский |Краснодарский край
8614671000;8614672999;Ростелеком;Славянский |Краснодарский край
8614673000;8614673999;Кубанская Речная Связь;Славянск - на - Кубани |Краснодарский край
8614675000;8614677999;Ростелеком;Славянский |Краснодарский край
8614678000;8614678999;РОЙЛКОМ;Славянский |Краснодарский край
8614691000;8614699999;Ростелеком;Славянский |Краснодарский край
8614720000;8614732999;Ростелеком;Курганинский |Краснодарский край
8614738400;8614739999;Ростелеком;Курганинский |Краснодарский край
8614760000;8614779999;Ростелеком;Курганинский |Краснодарский край
8614830000;8614839999;Ростелеком;Темрюкский |Краснодарский край
8614840700;8614845099;Ростелеком;Темрюкский |Краснодарский край
8614850000;8614855299;Ростелеком;Темрюкский |Краснодарский край
8614855300;8614855399;КУБТЕЛЕКОМ;Темрюкский |Краснодарский край
8614855400;8614855799;Ростелеком;Темрюкский |Краснодарский край
8614855800;8614855899;КУБТЕЛЕКОМ;Темрюкский |Краснодарский край
8614855900;8614857999;Ростелеком;Темрюкский |Краснодарский край
8614858000;8614858099;Кубанский бассейновый узел связи,вычислительной техники и радионавигации;Темрюкский |Краснодарский край
8614858100;8614858199;МИР Телеком;Темрюкский |Краснодарский край
8614858200;8614858399;Кубанский бассейновый узел связи,вычислительной техники и радионавигации;Темрюкский |Краснодарский край
8614858400;8614858699;МИР Телеком;Темрюкский |Краснодарский край
8614858700;8614858799;Кубанский бассейновый узел связи,вычислительной техники и радионавигации;Темрюкский |Краснодарский край
8614858800;8614858899;МИР Телеком;Темрюкский |Краснодарский край
8614858900;8614858999;Кубанский бассейновый узел связи,вычислительной техники и радионавигации;Темрюкский |Краснодарский край
8614859000;8614879999;Ростелеком;Темрюкский |Краснодарский край
8614890000;8614892699;Ростелеком;Темрюкский |Краснодарский край
8614893000;8614893699;Ростелеком;Темрюкский |Краснодарский край
8614894100;8614894899;Ростелеком;Темрюкский |Краснодарский край
8614895000;8614895799;Ростелеком;Темрюкский |Краснодарский край
8614899000;8614899899;Ростелеком;Темрюкский |Краснодарский край
8614930000;8614939999;Ростелеком;Новопокровский |Краснодарский край
8614970000;8614979999;Ростелеком;Новопокровский |Краснодарский край
8615020000;8615049999;Ростелеком;Абинский |Краснодарский край
8615051000;8615054999;Ростелеком;Абинский |Краснодарский край
8615060000;8615062099;Ростелеком;Абинский |Краснодарский край
8615062100;8615062999;РОЙЛКОМ;Абинский |Краснодарский край
8615063000;8615069999;Ростелеком;Абинский |Краснодарский край
8615070500;8615071399;РН-Информ;Абинский |Краснодарский край
8615090000;8615091999;Ростелеком;Абинский |Краснодарский край
8615093000;8615099999;Ростелеком;Абинский |Краснодарский край
8615130000;8615159999;Ростелеком;Щербиновский |Краснодарский край
8615170000;8615179999;Ростелеком;Щербиновский |Краснодарский край
8615220000;8615249099;Ростелеком;Апшеронский |Краснодарский край
8615249100;8615249599;РОЙЛКОМ;Апшеронский |Краснодарский край
8615249600;8615249999;Ростелеком;Апшеронский |Краснодарский край
8615251500;8615251999;РН-Информ;Апшеронский |Краснодарский край
8615270000;8615279999;Ростелеком;Апшеронский |Краснодарский край
8615291000;8615292999;Ростелеком;Апшеронский |Краснодарский край
8615340000;8615351199;Ростелеком;Староминский |Краснодарский край
8615351200;8615351499;Российские железные дороги;Староминский |Краснодарский край
8615351500;8615351599;Ростелеком;Староминский |Краснодарский край
8615351600;8615351699;Российские железные дороги;Староминский |Краснодарский край
8615351700;8615359999;Ростелеком;Староминский |Краснодарский край
8615450000;8615459999;Ростелеком;Белоглинский |Краснодарский край
8615470000;8615479999;Ростелеком;Белоглинский |Краснодарский край
8615491100;8615491499;Ростелеком;Белоглинский |Краснодарский край
8615491700;8615491799;Ростелеком;Белоглинский |Краснодарский край
8615492100;8615492799;Ростелеком;Белоглинский |Краснодарский край
8615494100;8615494599;Ростелеком;Белоглинский |Краснодарский край
8615495200;8615495399;Ростелеком;Белоглинский |Краснодарский край
8615496100;8615496299;Ростелеком;Белоглинский |Краснодарский край
8615497300;8615497499;Ростелеком;Белоглинский |Краснодарский край
8615497610;8615497659;Ростелеком;Белоглинский |Краснодарский край
8615497710;8615497759;Ростелеком;Белоглинский |Краснодарский край
8615520000;8615539999;Ростелеком;Белореченск |Краснодарский край
8615540000;8615540999;Медиагранд;Белореченск |Краснодарский край
8615550000;8615575999;Ростелеком;Белореченск |Краснодарский край
